,team,state,count
0,Atlanta Hawks,Alabama,5
1,Atlanta Hawks,Alaska,0
2,Atlanta Hawks,Arizona,1
3,Atlanta Hawks,Arkansas,0
4,Atlanta Hawks,California,4
5,Atlanta Hawks,Colorado,0
6,Atlanta Hawks,Connecticut,0
7,Atlanta Hawks,Delaware,0
8,Atlanta Hawks,Florida,1
9,Atlanta Hawks,Georgia,48
10,Atlanta Hawks,Hawaii,0
11,Atlanta Hawks,Idaho,0
12,Atlanta Hawks,Illinois,0
13,Atlanta Hawks,Indiana,0
14,Atlanta Hawks,Iowa,0
15,Atlanta Hawks,Kansas,0
16,Atlanta Hawks,Kentucky,0
17,Atlanta Hawks,Louisiana,0
18,Atlanta Hawks,Maine,0
19,Atlanta Hawks,Maryland,0
20,Atlanta Hawks,Massachusetts,2
21,Atlanta Hawks,Michigan,0
22,Atlanta Hawks,Minnesota,0
23,Atlanta Hawks,Mississippi,0
24,Atlanta Hawks,Missouri,0
25,Atlanta Hawks,Montana,0
26,Atlanta Hawks,Nebraska,0
27,Atlanta Hawks,Nevada,0
28,Atlanta Hawks,New Hampshire,0
29,Atlanta Hawks,New Jersey,0
30,Atlanta Hawks,New Mexico,0
31,Atlanta Hawks,New York,1
32,Atlanta Hawks,North Carolina,3
33,Atlanta Hawks,North Dakota,0
34,Atlanta Hawks,Ohio,1
35,Atlanta Hawks,Oklahoma,0
36,Atlanta Hawks,Oregon,1
37,Atlanta Hawks,Other,12
38,Atlanta Hawks,Pennsylvania,1
39,Atlanta Hawks,Rhode Island,0
40,Atlanta Hawks,South Carolina,1
41,Atlanta Hawks,South Dakota,0
42,Atlanta Hawks,Tennessee,2
43,Atlanta Hawks,Texas,1
44,Atlanta Hawks,Utah,0
45,Atlanta Hawks,Vermont,0
46,Atlanta Hawks,Virginia,0
47,Atlanta Hawks,Washington,2
48,Atlanta Hawks,West Virginia,1
49,Atlanta Hawks,Wisconsin,0
50,Atlanta Hawks,Wyoming,0
51,Boston Celtics,Alabama,1
52,Boston Celtics,Alaska,1
53,Boston Celtics,Arizona,1
54,Boston Celtics,Arkansas,0
55,Boston Celtics,California,21
56,Boston Celtics,Colorado,4
57,Boston Celtics,Connecticut,16
58,Boston Celtics,Delaware,1
59,Boston Celtics,Florida,8
60,Boston Celtics,Georgia,6
61,Boston Celtics,Hawaii,0
62,Boston Celtics,Idaho,2
63,Boston Celtics,Illinois,7
64,Boston Celtics,Indiana,3
65,Boston Celtics,Iowa,3
66,Boston Celtics,Kansas,2
67,Boston Celtics,Kentucky,8
68,Boston Celtics,Louisiana,0
69,Boston Celtics,Maine,15
70,Boston Celtics,Maryland,5
71,Boston Celtics,Massachusetts,182
72,Boston Celtics,Michigan,3
73,Boston Celtics,Minnesota,0
74,Boston Celtics,Mississippi,0
75,Boston Celtics,Missouri,1
76,Boston Celtics,Montana,0
77,Boston Celtics,Nebraska,4
78,Boston Celtics,Nevada,2
79,Boston Celtics,New Hampshire,10
80,Boston Celtics,New Jersey,13
81,Boston Celtics,New Mexico,0
82,Boston Celtics,New York,14
83,Boston Celtics,North Carolina,2
84,Boston Celtics,North Dakota,0
85,Boston Celtics,Ohio,2
86,Boston Celtics,Oklahoma,0
87,Boston Celtics,Oregon,1
88,Boston Celtics,Other,189
89,Boston Celtics,Pennsylvania,9
90,Boston Celtics,Rhode Island,8
91,Boston Celtics,South Carolina,2
92,Boston Celtics,South Dakota,0
93,Boston Celtics,Tennessee,2
94,Boston Celtics,Texas,9
95,Boston Celtics,Utah,2
96,Boston Celtics,Vermont,4
97,Boston Celtics,Virginia,7
98,Boston Celtics,Washington,4
99,Boston Celtics,West Virginia,1
100,Boston Celtics,Wisconsin,3
101,Boston Celtics,Wyoming,0
102,Brooklyn Nets,Alabama,0
103,Brooklyn Nets,Alaska,1
104,Brooklyn Nets,Arizona,0
105,Brooklyn Nets,Arkansas,0
106,Brooklyn Nets,California,3
107,Brooklyn Nets,Colorado,0
108,Brooklyn Nets,Connecticut,2
109,Brooklyn Nets,Delaware,0
110,Brooklyn Nets,Florida,0
111,Brooklyn Nets,Georgia,1
112,Brooklyn Nets,Hawaii,0
113,Brooklyn Nets,Idaho,0
114,Brooklyn Nets,Illinois,1
115,Brooklyn Nets,Indiana,0
116,Brooklyn Nets,Iowa,0
117,Brooklyn Nets,Kansas,1
118,Brooklyn Nets,Kentucky,0
119,Brooklyn Nets,Louisiana,0
120,Brooklyn Nets,Maine,0
121,Brooklyn Nets,Maryland,0
122,Brooklyn Nets,Massachusetts,3
123,Brooklyn Nets,Michigan,0
124,Brooklyn Nets,Minnesota,0
125,Brooklyn Nets,Mississippi,0
126,Brooklyn Nets,Missouri,0
127,Brooklyn Nets,Montana,0
128,Brooklyn Nets,Nebraska,1
129,Brooklyn Nets,Nevada,0
130,Brooklyn Nets,New Hampshire,0
131,Brooklyn Nets,New Jersey,20
132,Brooklyn Nets,New Mexico,0
133,Brooklyn Nets,New York,16
134,Brooklyn Nets,North Carolina,0
135,Brooklyn Nets,North Dakota,0
136,Brooklyn Nets,Ohio,0
137,Brooklyn Nets,Oklahoma,0
138,Brooklyn Nets,Oregon,0
139,Brooklyn Nets,Other,15
140,Brooklyn Nets,Pennsylvania,2
141,Brooklyn Nets,Rhode Island,0
142,Brooklyn Nets,South Carolina,0
143,Brooklyn Nets,South Dakota,1
144,Brooklyn Nets,Tennessee,3
145,Brooklyn Nets,Texas,4
146,Brooklyn Nets,Utah,0
147,Brooklyn Nets,Vermont,0
148,Brooklyn Nets,Virginia,1
149,Brooklyn Nets,Washington,0
150,Brooklyn Nets,West Virginia,0
151,Brooklyn Nets,Wisconsin,1
152,Brooklyn Nets,Wyoming,0
153,Charlotte Hornets,Alabama,1
154,Charlotte Hornets,Alaska,0
155,Charlotte Hornets,Arizona,0
156,Charlotte Hornets,Arkansas,0
157,Charlotte Hornets,California,0
158,Charlotte Hornets,Colorado,1
159,Charlotte Hornets,Connecticut,0
160,Charlotte Hornets,Delaware,0
161,Charlotte Hornets,Florida,0
162,Charlotte Hornets,Georgia,0
163,Charlotte Hornets,Hawaii,0
164,Charlotte Hornets,Idaho,0
165,Charlotte Hornets,Illinois,1
166,Charlotte Hornets,Indiana,0
167,Charlotte Hornets,Iowa,0
168,Charlotte Hornets,Kansas,0
169,Charlotte Hornets,Kentucky,0
170,Charlotte Hornets,Louisiana,0
171,Charlotte Hornets,Maine,1
172,Charlotte Hornets,Maryland,0
173,Charlotte Hornets,Massachusetts,0
174,Charlotte Hornets,Michigan,0
175,Charlotte Hornets,Minnesota,0
176,Charlotte Hornets,Mississippi,0
177,Charlotte Hornets,Missouri,0
178,Charlotte Hornets,Montana,0
179,Charlotte Hornets,Nebraska,0
180,Charlotte Hornets,Nevada,0
181,Charlotte Hornets,New Hampshire,0
182,Charlotte Hornets,New Jersey,2
183,Charlotte Hornets,New Mexico,0
184,Charlotte Hornets,New York,2
185,Charlotte Hornets,North Carolina,24
186,Charlotte Hornets,North Dakota,0
187,Charlotte Hornets,Ohio,0
188,Charlotte Hornets,Oklahoma,0
189,Charlotte Hornets,Oregon,0
190,Charlotte Hornets,Other,8
191,Charlotte Hornets,Pennsylvania,0
192,Charlotte Hornets,Rhode Island,0
193,Charlotte Hornets,South Carolina,2
194,Charlotte Hornets,South Dakota,0
195,Charlotte Hornets,Tennessee,0
196,Charlotte Hornets,Texas,2
197,Charlotte Hornets,Utah,0
198,Charlotte Hornets,Vermont,0
199,Charlotte Hornets,Virginia,2
200,Charlotte Hornets,Washington,0
201,Charlotte Hornets,West Virginia,1
202,Charlotte Hornets,Wisconsin,0
203,Charlotte Hornets,Wyoming,0
204,Chicago Bulls,Alabama,1
205,Chicago Bulls,Alaska,0
206,Chicago Bulls,Arizona,0
207,Chicago Bulls,Arkansas,0
208,Chicago Bulls,California,11
209,Chicago Bulls,Colorado,4
210,Chicago Bulls,Connecticut,2
211,Chicago Bulls,Delaware,0
212,Chicago Bulls,Florida,4
213,Chicago Bulls,Georgia,3
214,Chicago Bulls,Hawaii,1
215,Chicago Bulls,Idaho,0
216,Chicago Bulls,Illinois,137
217,Chicago Bulls,Indiana,7
218,Chicago Bulls,Iowa,4
219,Chicago Bulls,Kansas,2
220,Chicago Bulls,Kentucky,4
221,Chicago Bulls,Louisiana,0
222,Chicago Bulls,Maine,0
223,Chicago Bulls,Maryland,1
224,Chicago Bulls,Massachusetts,1
225,Chicago Bulls,Michigan,3
226,Chicago Bulls,Minnesota,0
227,Chicago Bulls,Mississippi,0
228,Chicago Bulls,Missouri,3
229,Chicago Bulls,Montana,2
230,Chicago Bulls,Nebraska,3
231,Chicago Bulls,Nevada,1
232,Chicago Bulls,New Hampshire,0
233,Chicago Bulls,New Jersey,3
234,Chicago Bulls,New Mexico,1
235,Chicago Bulls,New York,8
236,Chicago Bulls,North Carolina,3
237,Chicago Bulls,North Dakota,0
238,Chicago Bulls,Ohio,2
239,Chicago Bulls,Oklahoma,1
240,Chicago Bulls,Oregon,1
241,Chicago Bulls,Other,66
242,Chicago Bulls,Pennsylvania,3
243,Chicago Bulls,Rhode Island,0
244,Chicago Bulls,South Carolina,1
245,Chicago Bulls,South Dakota,0
246,Chicago Bulls,Tennessee,1
247,Chicago Bulls,Texas,3
248,Chicago Bulls,Utah,4
249,Chicago Bulls,Vermont,0
250,Chicago Bulls,Virginia,2
251,Chicago Bulls,Washington,4
252,Chicago Bulls,West Virginia,2
253,Chicago Bulls,Wisconsin,2
254,Chicago Bulls,Wyoming,0
255,Cleveland Cavaliers,Alabama,1
256,Cleveland Cavaliers,Alaska,0
257,Cleveland Cavaliers,Arizona,4
258,Cleveland Cavaliers,Arkansas,1
259,Cleveland Cavaliers,California,25
260,Cleveland Cavaliers,Colorado,3
261,Cleveland Cavaliers,Connecticut,0
262,Cleveland Cavaliers,Delaware,0
263,Cleveland Cavaliers,Florida,10
264,Cleveland Cavaliers,Georgia,6
265,Cleveland Cavaliers,Hawaii,1
266,Cleveland Cavaliers,Idaho,1
267,Cleveland Cavaliers,Illinois,9
268,Cleveland Cavaliers,Indiana,10
269,Cleveland Cavaliers,Iowa,3
270,Cleveland Cavaliers,Kansas,3
271,Cleveland Cavaliers,Kentucky,6
272,Cleveland Cavaliers,Louisiana,1
273,Cleveland Cavaliers,Maine,1
274,Cleveland Cavaliers,Maryland,4
275,Cleveland Cavaliers,Massachusetts,2
276,Cleveland Cavaliers,Michigan,4
277,Cleveland Cavaliers,Minnesota,5
278,Cleveland Cavaliers,Mississippi,0
279,Cleveland Cavaliers,Missouri,8
280,Cleveland Cavaliers,Montana,0
281,Cleveland Cavaliers,Nebraska,0
282,Cleveland Cavaliers,Nevada,1
283,Cleveland Cavaliers,New Hampshire,0
284,Cleveland Cavaliers,New Jersey,4
285,Cleveland Cavaliers,New Mexico,0
286,Cleveland Cavaliers,New York,12
287,Cleveland Cavaliers,North Carolina,7
288,Cleveland Cavaliers,North Dakota,0
289,Cleveland Cavaliers,Ohio,92
290,Cleveland Cavaliers,Oklahoma,1
291,Cleveland Cavaliers,Oregon,3
292,Cleveland Cavaliers,Other,147
293,Cleveland Cavaliers,Pennsylvania,8
294,Cleveland Cavaliers,Rhode Island,0
295,Cleveland Cavaliers,South Carolina,2
296,Cleveland Cavaliers,South Dakota,0
297,Cleveland Cavaliers,Tennessee,4
298,Cleveland Cavaliers,Texas,8
299,Cleveland Cavaliers,Utah,0
300,Cleveland Cavaliers,Vermont,0
301,Cleveland Cavaliers,Virginia,3
302,Cleveland Cavaliers,Washington,3
303,Cleveland Cavaliers,West Virginia,0
304,Cleveland Cavaliers,Wisconsin,1
305,Cleveland Cavaliers,Wyoming,1
306,Dallas Mavericks,Alabama,1
307,Dallas Mavericks,Alaska,2
308,Dallas Mavericks,Arizona,0
309,Dallas Mavericks,Arkansas,1
310,Dallas Mavericks,California,6
311,Dallas Mavericks,Colorado,1
312,Dallas Mavericks,Connecticut,0
313,Dallas Mavericks,Delaware,0
314,Dallas Mavericks,Florida,0
315,Dallas Mavericks,Georgia,0
316,Dallas Mavericks,Hawaii,0
317,Dallas Mavericks,Idaho,1
318,Dallas Mavericks,Illinois,0
319,Dallas Mavericks,Indiana,0
320,Dallas Mavericks,Iowa,1
321,Dallas Mavericks,Kansas,0
322,Dallas Mavericks,Kentucky,0
323,Dallas Mavericks,Louisiana,1
324,Dallas Mavericks,Maine,0
325,Dallas Mavericks,Maryland,0
326,Dallas Mavericks,Massachusetts,0
327,Dallas Mavericks,Michigan,1
328,Dallas Mavericks,Minnesota,0
329,Dallas Mavericks,Mississippi,0
330,Dallas Mavericks,Missouri,0
331,Dallas Mavericks,Montana,0
332,Dallas Mavericks,Nebraska,0
333,Dallas Mavericks,Nevada,0
334,Dallas Mavericks,New Hampshire,0
335,Dallas Mavericks,New Jersey,3
336,Dallas Mavericks,New Mexico,0
337,Dallas Mavericks,New York,6
338,Dallas Mavericks,North Carolina,1
339,Dallas Mavericks,North Dakota,1
340,Dallas Mavericks,Ohio,0
341,Dallas Mavericks,Oklahoma,0
342,Dallas Mavericks,Oregon,0
343,Dallas Mavericks,Other,54
344,Dallas Mavericks,Pennsylvania,0
345,Dallas Mavericks,Rhode Island,0
346,Dallas Mavericks,South Carolina,0
347,Dallas Mavericks,South Dakota,0
348,Dallas Mavericks,Tennessee,0
349,Dallas Mavericks,Texas,57
350,Dallas Mavericks,Utah,0
351,Dallas Mavericks,Vermont,0
352,Dallas Mavericks,Virginia,1
353,Dallas Mavericks,Washington,2
354,Dallas Mavericks,West Virginia,1
355,Dallas Mavericks,Wisconsin,1
356,Dallas Mavericks,Wyoming,0
357,Denver Nuggets,Alabama,1
358,Denver Nuggets,Alaska,0
359,Denver Nuggets,Arizona,0
360,Denver Nuggets,Arkansas,1
361,Denver Nuggets,California,3
362,Denver Nuggets,Colorado,35
363,Denver Nuggets,Connecticut,0
364,Denver Nuggets,Delaware,0
365,Denver Nuggets,Florida,0
366,Denver Nuggets,Georgia,0
367,Denver Nuggets,Hawaii,0
368,Denver Nuggets,Idaho,0
369,Denver Nuggets,Illinois,0
370,Denver Nuggets,Indiana,1
371,Denver Nuggets,Iowa,0
372,Denver Nuggets,Kansas,0
373,Denver Nuggets,Kentucky,0
374,Denver Nuggets,Louisiana,0
375,Denver Nuggets,Maine,0
376,Denver Nuggets,Maryland,0
377,Denver Nuggets,Massachusetts,1
378,Denver Nuggets,Michigan,0
379,Denver Nuggets,Minnesota,0
380,Denver Nuggets,Mississippi,0
381,Denver Nuggets,Missouri,0
382,Denver Nuggets,Montana,1
383,Denver Nuggets,Nebraska,1
384,Denver Nuggets,Nevada,0
385,Denver Nuggets,New Hampshire,0
386,Denver Nuggets,New Jersey,0
387,Denver Nuggets,New Mexico,0
388,Denver Nuggets,New York,0
389,Denver Nuggets,North Carolina,0
390,Denver Nuggets,North Dakota,0
391,Denver Nuggets,Ohio,0
392,Denver Nuggets,Oklahoma,0
393,Denver Nuggets,Oregon,0
394,Denver Nuggets,Other,25
395,Denver Nuggets,Pennsylvania,0
396,Denver Nuggets,Rhode Island,0
397,Denver Nuggets,South Carolina,0
398,Denver Nuggets,South Dakota,0
399,Denver Nuggets,Tennessee,0
400,Denver Nuggets,Texas,1
401,Denver Nuggets,Utah,0
402,Denver Nuggets,Vermont,0
403,Denver Nuggets,Virginia,1
404,Denver Nuggets,Washington,2
405,Denver Nuggets,West Virginia,0
406,Denver Nuggets,Wisconsin,0
407,Denver Nuggets,Wyoming,0
408,Detroit Pistons,Alabama,0
409,Detroit Pistons,Alaska,0
410,Detroit Pistons,Arizona,0
411,Detroit Pistons,Arkansas,1
412,Detroit Pistons,California,3
413,Detroit Pistons,Colorado,2
414,Detroit Pistons,Connecticut,0
415,Detroit Pistons,Delaware,0
416,Detroit Pistons,Florida,2
417,Detroit Pistons,Georgia,0
418,Detroit Pistons,Hawaii,0
419,Detroit Pistons,Idaho,0
420,Detroit Pistons,Illinois,6
421,Detroit Pistons,Indiana,1
422,Detroit Pistons,Iowa,0
423,Detroit Pistons,Kansas,0
424,Detroit Pistons,Kentucky,0
425,Detroit Pistons,Louisiana,0
426,Detroit Pistons,Maine,0
427,Detroit Pistons,Maryland,0
428,Detroit Pistons,Massachusetts,0
429,Detroit Pistons,Michigan,58
430,Detroit Pistons,Minnesota,0
431,Detroit Pistons,Mississippi,0
432,Detroit Pistons,Missouri,0
433,Detroit Pistons,Montana,0
434,Detroit Pistons,Nebraska,0
435,Detroit Pistons,Nevada,0
436,Detroit Pistons,New Hampshire,0
437,Detroit Pistons,New Jersey,0
438,Detroit Pistons,New Mexico,0
439,Detroit Pistons,New York,1
440,Detroit Pistons,North Carolina,1
441,Detroit Pistons,North Dakota,1
442,Detroit Pistons,Ohio,3
443,Detroit Pistons,Oklahoma,1
444,Detroit Pistons,Oregon,0
445,Detroit Pistons,Other,15
446,Detroit Pistons,Pennsylvania,1
447,Detroit Pistons,Rhode Island,0
448,Detroit Pistons,South Carolina,1
449,Detroit Pistons,South Dakota,0
450,Detroit Pistons,Tennessee,0
451,Detroit Pistons,Texas,1
452,Detroit Pistons,Utah,0
453,Detroit Pistons,Vermont,0
454,Detroit Pistons,Virginia,1
455,Detroit Pistons,Washington,1
456,Detroit Pistons,West Virginia,0
457,Detroit Pistons,Wisconsin,2
458,Detroit Pistons,Wyoming,0
459,Golden State Warriors,Alabama,0
460,Golden State Warriors,Alaska,1
461,Golden State Warriors,Arizona,2
462,Golden State Warriors,Arkansas,1
463,Golden State Warriors,California,385
464,Golden State Warriors,Colorado,1
465,Golden State Warriors,Connecticut,0
466,Golden State Warriors,Delaware,0
467,Golden State Warriors,Florida,7
468,Golden State Warriors,Georgia,2
469,Golden State Warriors,Hawaii,2
470,Golden State Warriors,Idaho,0
471,Golden State Warriors,Illinois,5
472,Golden State Warriors,Indiana,2
473,Golden State Warriors,Iowa,3
474,Golden State Warriors,Kansas,2
475,Golden State Warriors,Kentucky,2
476,Golden State Warriors,Louisiana,1
477,Golden State Warriors,Maine,0
478,Golden State Warriors,Maryland,3
479,Golden State Warriors,Massachusetts,2
480,Golden State Warriors,Michigan,3
481,Golden State Warriors,Minnesota,1
482,Golden State Warriors,Mississippi,0
483,Golden State Warriors,Missouri,2
484,Golden State Warriors,Montana,0
485,Golden State Warriors,Nebraska,3
486,Golden State Warriors,Nevada,7
487,Golden State Warriors,New Hampshire,0
488,Golden State Warriors,New Jersey,1
489,Golden State Warriors,New Mexico,4
490,Golden State Warriors,New York,13
491,Golden State Warriors,North Carolina,7
492,Golden State Warriors,North Dakota,0
493,Golden State Warriors,Ohio,6
494,Golden State Warriors,Oklahoma,0
495,Golden State Warriors,Oregon,5
496,Golden State Warriors,Other,169
497,Golden State Warriors,Pennsylvania,6
498,Golden State Warriors,Rhode Island,0
499,Golden State Warriors,South Carolina,3
500,Golden State Warriors,South Dakota,2
501,Golden State Warriors,Tennessee,2
502,Golden State Warriors,Texas,8
503,Golden State Warriors,Utah,2
504,Golden State Warriors,Vermont,1
505,Golden State Warriors,Virginia,3
506,Golden State Warriors,Washington,10
507,Golden State Warriors,West Virginia,0
508,Golden State Warriors,Wisconsin,4
509,Golden State Warriors,Wyoming,0
510,Houston Rockets,Alabama,2
511,Houston Rockets,Alaska,0
512,Houston Rockets,Arizona,1
513,Houston Rockets,Arkansas,0
514,Houston Rockets,California,16
515,Houston Rockets,Colorado,1
516,Houston Rockets,Connecticut,2
517,Houston Rockets,Delaware,0
518,Houston Rockets,Florida,4
519,Houston Rockets,Georgia,2
520,Houston Rockets,Hawaii,1
521,Houston Rockets,Idaho,0
522,Houston Rockets,Illinois,1
523,Houston Rockets,Indiana,1
524,Houston Rockets,Iowa,0
525,Houston Rockets,Kansas,1
526,Houston Rockets,Kentucky,0
527,Houston Rockets,Louisiana,1
528,Houston Rockets,Maine,0
529,Houston Rockets,Maryland,1
530,Houston Rockets,Massachusetts,1
531,Houston Rockets,Michigan,1
532,Houston Rockets,Minnesota,0
533,Houston Rockets,Mississippi,1
534,Houston Rockets,Missouri,2
535,Houston Rockets,Montana,0
536,Houston Rockets,Nebraska,0
537,Houston Rockets,Nevada,0
538,Houston Rockets,New Hampshire,0
539,Houston Rockets,New Jersey,1
540,Houston Rockets,New Mexico,1
541,Houston Rockets,New York,5
542,Houston Rockets,North Carolina,2
543,Houston Rockets,North Dakota,0
544,Houston Rockets,Ohio,0
545,Houston Rockets,Oklahoma,1
546,Houston Rockets,Oregon,2
547,Houston Rockets,Other,82
548,Houston Rockets,Pennsylvania,2
549,Houston Rockets,Rhode Island,1
550,Houston Rockets,South Carolina,0
551,Houston Rockets,South Dakota,1
552,Houston Rockets,Tennessee,1
553,Houston Rockets,Texas,186
